,no,urls,user_id,username,user_display_name,tweet_id,full_text,created_at,retweet_count,like_count
29,30,[],1814235250840780800,hendra_prtma,Hendra Pratama,1825941389332591082,"Ibu kota baru, vibe-nya pasti beda banget",Tue Aug 20 17:02:06 +0000 2024,0,0
30,31,[],1700041927750823936,thomas_iskndr2,Thomas Iskandar,1825940573922144480,@PapuaBagianNKRI Bikin Indonesia lebih hip dengan ibu kota yang baru,Tue Aug 20 16:58:51 +0000 2024,0,0
31,32,[],1688452978477502464,faidha_zhrfaa,Faidha Zharufa,1825938911614681576,@PapuaBagianNKRI Ibu kota nusantara akan memberikan lapangan pekerjaan baru bagi warga setempat,Tue Aug 20 16:52:15 +0000 2024,0,0
32,33,[],1681921304566595584,alma_maidah,Alma Maidah,1825935708227588227,"@PapuaBagianNKRI Ibu kota yang baru, semangat baru buat akselerasi ekonomi.",Tue Aug 20 16:39:31 +0000 2024,0,0
33,34,"[{'display_url': 'cnbcindonesia.com/news/202408171…', 'expanded_url': 'https://www.cnbcindonesia.com/news/20240817181032-4-564090/media-asing-sorot-upacara-pertama-ri-di-ikn-blak-blakan-bilang-ini', 'url': 'https://t.co/9tEWcbTwIs', 'indices': [215, 238]}]",460852025,ratubadis_nando,Rebellion Built On Hope,1825924223375913154,"Ini kata Media Asing terkait upacara kemerdekaan di IKN : ""Indonesia Holds Curtailed Independence Day Event in Troubled New Capital' (Indonesia Menggelar Upacara Hari Kemerdekaan di Ibu Kota Baru yang Bermasalah)"" 
https://t.co/9tEWcbTwIs",Tue Aug 20 15:53:53 +0000 2024,0,0
34,35,"[{'display_url': 'dlvr.it/TC8Sjd', 'expanded_url': 'http://dlvr.it/TC8Sjd', 'url': 'https://t.co/7lozIoy7o3', 'indices': [88, 111]}]",47596019,liputan6dotcom,LIPUTAN6,1825922260739436966,"RS Hermina Nusantara, Menuju Smart Hospital Berbasis Eco Green di Jantung Ibu Kota Baru https://t.co/7lozIoy7o3 #Health",Tue Aug 20 15:46:05 +0000 2024,0,0
35,36,"[{'display_url': 'link.bicolink.net/qpiWs2MQ0', 'expanded_url': 'https://link.bicolink.net/qpiWs2MQ0', 'url': 'https://t.co/jmHnRdsb8J', 'indices': [141, 164]}]",1571372652119601152,rgieew,Amrull,1825920814048481722,@Bett01829804 Jokowi gelar rapat kabinet pertama di ibu kota baru Nusantara. Apa dampaknya bagi masa depan Indonesia? Baca selengkapnya &gt; https://t.co/jmHnRdsb8J,Tue Aug 20 15:40:20 +0000 2024,0,0
36,37,[],1694604474202124288,hendra_rmdhn,Hendra Ramadhan,1825916637809381627,"@AgikMauripta Presiden Jokowi meyakini bahwa pemindahan Ibu Kota Nusantara akan membuka peluang baru bagi pengembangan ekonomi, industri, dan pariwisata di Indonesia",Tue Aug 20 15:23:45 +0000 2024,0,0
37,38,[],1701477052321550336,unggull_kusumo,Unggul Kusumo,1825916083116933410,"@PapuaBagianNKRI Ibu kota yang baru, bikin kita semakin jadi contoh buat dunia.",Tue Aug 20 15:21:32 +0000 2024,0,0
38,39,[],1681940300493910016,candra_diky004,Diky Candra,1825915541619626303,"@PapuaBagianNKRI Ibu kota yang baru, bikin kita semakin deket sama visi dunia green.",Tue Aug 20 15:19:23 +0000 2024,0,0
39,40,[],1693928290099331072,putra_hemas,Putra Hemas,1825908409247609162,@PapuaBagianNKRI Ibu kota yang baru bakal jadi trendsetter baru nih,Tue Aug 20 14:51:03 +0000 2024,0,0
40,41,[],1699701887216619520,tanto_utama12,Tanto Utama,1825905744228827458,"@PapuaBagianNKRI Ibu kota baru, bikin kita semakin jadi pemain utama di panggung dunia.",Tue Aug 20 14:40:27 +0000 2024,0,0
41,42,[],1701541886706802688,ena_agum,Ena Agum,1825905451445399832,"@PapuaBagianNKRI Pemindahan ibu kota, membawa semangat baru untuk membangun masa depan hijau.",Tue Aug 20 14:39:17 +0000 2024,0,0
42,43,[],1693481370298040320,farhan_mhmmd23,Farhan Muhammad,1825901714211500137,@AgikMauripta Keberlanjutan budaya Indonesia akan menghiasi setiap sudut ibu kota baru,Tue Aug 20 14:24:26 +0000 2024,0,0
43,44,"[{'display_url': 'buff.ly/4dr9az2', 'expanded_url': 'https://buff.ly/4dr9az2', 'url': 'https://t.co/eP8ZJ9XMQt', 'indices': [227, 250]}]",41730943,VIVAcoid,VivaCoid,1825898058955010213,"Pengembangan kawasan permukiman di sekitar Ibu Kota Negara (IKN) Nusantara diakui memiliki potensi dan prospek yang sangat cerah.

Hal itu diakui kalangan pengembang, mengingat pesatnya pembangunan di ibu kota baru tersebut. 

https://t.co/eP8ZJ9XMQt

#vivacoid #realestate #IKN https://t.co/LEmhEC9wbr",Tue Aug 20 14:09:55 +0000 2024,0,0
44,45,[],746565480,MeliamSuri,echa meliam,1825880925865173066,@oneyuni @haneopsi @hanmysunn pelantikan harusnya di ibu kota baru,Tue Aug 20 13:01:50 +0000 2024,0,0
45,46,[],1798603300771897344,Gizka_ria,Aku Baru,1825880793790689759,"@MafiaWasit Dkj mbah, bukan ibu kota 🗿",Tue Aug 20 13:01:19 +0000 2024,0,0
46,47,[],2651176428,Jhonkosmik,Jhon Black,1825876020177879283,Issue megatrust menjadi alat marketing  ibu kota baru republik Platonis.,Tue Aug 20 12:42:21 +0000 2024,0,1
47,48,[],1348208850764066820,Zach7Fier,"Zachary⁷, MD | rest",1825875211113414938,"@urnolan @sunwookimz kalo d panggil sus baru dokternya tersinggung.

kalo cm pak/ibu doang wajar, apalagi di daerah / kota kecil itu wajar bgt dipanggil pak/bu",Tue Aug 20 12:39:08 +0000 2024,0,1
48,49,"[{'display_url': 'oasedata.com/news/peluang-a…', 'expanded_url': 'https://oasedata.com/news/peluang-anies-baswedan-bersama-pdip-menguat-setelah-putusan-mk', 'url': 'https://t.co/C5WYktug5h', 'indices': [141, 164]}]",1513495577761263617,mutualan_is_fun,BASE MUTUALAN | FUN EVERYDAY,1825870244960763946,"Putusan MK membuka peluang baru bagi Anies Baswedan dan PDIP di Pilkada DKI Jakarta. Akankah Anies dan PDIP bersatu untuk merebut ibu kota?

https://t.co/C5WYktug5h https://t.co/qsuUlK7ACc",Tue Aug 20 12:19:24 +0000 2024,0,0
49,50,"[{'display_url': 'jabar.pikiran-rakyat.com/nasional/pr-36…', 'expanded_url': 'https://jabar.pikiran-rakyat.com/nasional/pr-3658467774/rekrutmen-cpns-2024-otorita-ikn-600-formasi-terbuka-wujudkan-mimpi-anda-di-ibu-kota-baru?page=all', 'url': 'https://t.co/LA5TYJNl9k', 'indices': [92, 115]}]",112616155,dickyaditya7,H.D.A. Jayadiningrat,1825858139931160855,"Rekrutmen CPNS 2024 Otorita IKN: 600 Formasi Terbuka, Wujudkan Mimpi Anda di Ibu Kota Baru! https://t.co/LA5TYJNl9k",Tue Aug 20 11:31:18 +0000 2024,0,0
50,51,[],280895955,PolitikBRIN,Pusat Riset Politik BRIN,1825854589519987029,"Edisi kali ini menjadi refleksi penting karena hadir bersamaan dengan semangat pemindahan ibu kota negara yang menjadi tema sentral peringatan Hari Kemerdekaan Republik Indonesia ke 79 tahun ""Nusantara Baru, Indonesia Maju"".",Tue Aug 20 11:17:11 +0000 2024,0,1
51,52,[],1815986484903895040,lila_nabilaa,Lila Nabila,1825841198680125868,@AgikMauripta Ibu kota yang baru bakal jadi pusat inovasi dan kreativitas,Tue Aug 20 10:23:58 +0000 2024,0,0
52,53,[],1683360707767828481,erine_adrin73,Erine Adrin,1825841011811402050,"@AgikMauripta Pemindahan ibu kota nusantara akan mendorong pembangunan infrastruktur baru, seperti jalan tol, bandara, dan pelabuhan",Tue Aug 20 10:23:14 +0000 2024,0,0
53,54,[],1694309254738612224,viera_mansya4,Viera Mansya,1825835787931255017,"@AgikMauripta Pindah ibu kota, bikin kita semakin siap untuk menghadapi era baru.",Tue Aug 20 10:02:28 +0000 2024,0,0
54,55,[],1683722659048345600,danu_nugraha13,Danu Nugraha,1825832822088642560,"@AgikMauripta Ibu kota baru, representasi kebangkitan kita yang lebih hijau.",Tue Aug 20 09:50:41 +0000 2024,0,0
55,56,[],1681171841073704961,vikri_yandi9,Vikri Yandi,1825827478361047392,@IKNnusantaraID Pemindahan ibu kota menciptakan momentum baru dalam hubungan diplomatik,Tue Aug 20 09:29:27 +0000 2024,0,0
56,57,"[{'display_url': 'erakini.id/ekonomi-bisnis…', 'expanded_url': 'https://erakini.id/ekonomi-bisnis/era-XQIVX/baru-sehari-jadi-menteri--rosan-dituntut-putar-otak-bawa-investor-asing-ke-ikn?utm_source=dlvr.it&utm_medium=twitter', 'url': 'https://t.co/T3lAWlhImx', 'indices': [124, 147]}]",1666299675329298433,erakinimedia,erakini media,1825826500236685597,"Baru sehari menjabat Menteri Investasi, Rosan Roeslani sudah harus memutar otak untuk pembangunan Ibu Kota Nusantara (IKN). https://t.co/T3lAWlhImx",Tue Aug 20 09:25:34 +0000 2024,0,0
57,58,[],760376195493994496,sugikchan,sug!4rt0,1825819905138242006,"@detikcom Kenapa berebut jakarta padahal ibu kota negara sudah pindah ke kaltim? Gk ada yg pengen berebut jadi gubernur IKN kah? Katanya berlogo""Nusantara Baru,Indonesia Naju""😂",Tue Aug 20 08:59:22 +0000 2024,0,1
58,59,"[{'display_url': 'instagram.com/p/C-4sTnEyKyK/…', 'expanded_url': 'https://www.instagram.com/p/C-4sTnEyKyK/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==', 'url': 'https://t.co/sD4tA2Nghj', 'indices': [234, 257]}]",1235076319710310401,kantahkabtator,ATR/BPN Tana Toraja,1825819362252492874,"#repost @kem_atrbpn - Upacara Peringatan Hari Ulang Tahun (HUT) ke-79 Republik Indonesia yang mengusung tema “Indonesia Maju, Nusantara Baru”, berlangsung secara hybrid di Istana Negara, Ibu Kota Nusantara (IKN) dan Istana Merdeka, 

https://t.co/sD4tA2Nghj",Tue Aug 20 08:57:12 +0000 2024,0,0
59,60,[],1681553651083673600,yuda_permana32,Yuda Permana,1825818619080749331,@PapuaBagianNKRI Pemindahan Ibu Kota Nusantara akan membuka peluang baru bagi perkembangan ekonomi Indonesia,Tue Aug 20 08:54:15 +0000 2024,0,0
60,61,[],1689844572342644737,abidaw_liyah22,Abidaw Aliyah,1825817645905740201,"@segaratimor Presiden Jokowi meyakini bahwa pemindahan Ibu Kota Nusantara akan membuka peluang baru bagi pengembangan ekonomi, industri, dan pariwisata di Indonesia.",Tue Aug 20 08:50:23 +0000 2024,0,0
61,62,"[{'display_url': 'instagram.com/reel/C-4pLO9qG…', 'expanded_url': 'https://www.instagram.com/reel/C-4pLO9qGUr/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==', 'url': 'https://t.co/EeNNAYUa9s', 'indices': [192, 215]}]",1235076319710310401,kantahkabtator,ATR/BPN Tana Toraja,1825812954412958031,"#repost @kem_atrbpn - Halo #SobATRBPN, Pemerintah telah mempersiapkan Nusantara tidak hanya membangun Ibu Kota Baru namun juga membangun Kota Hutan yang Ramah Lingkungan, Pintar dan modern. 

https://t.co/EeNNAYUa9s",Tue Aug 20 08:31:44 +0000 2024,0,0
62,63,[],1718910604097081344,cantika_perma32,Cantika Permata,1825811145669882092,@PapuaBagianNKRI Bikin Indonesia lebih hip dengan ibu kota yang baru,Tue Aug 20 08:24:33 +0000 2024,0,1
63,64,"[{'display_url': 'timenews.co.id/daerah/9951337…', 'expanded_url': 'https://www.timenews.co.id/daerah/99513379016/bupati-sergai-darma-wijaya-hadiri-peringatan-hut-mahkamah-agung-ke-79-di-sei-rampah-soroti-peran-ibu-kota-baru', 'url': 'https://t.co/OlSOkX5dWE', 'indices': [112, 135]}]",1803971049027248129,RedaksiT648,redaksi timenews,1825808382839992419,"Bupati Sergai Darma Wijaya Hadiri Peringatan HUT Mahkamah Agung ke-79 di Sei Rampah, Soroti Peran Ibu Kota Baru https://t.co/OlSOkX5dWE",Tue Aug 20 08:13:35 +0000 2024,0,0
64,65,[],812874604968452097,lescorts__,Muhamad Hafid ,1825807822006751699,"Jakarta siap jadi kota penuh dgn quotes

-Matraman
""Matraman lahir ketika Jimi Multhazam sedang bersedih""

-Jakarta Ramai
""Jakarta ramai kembali setelah Lebaran, seolah urbanisasi adalah takdir yg berulang, membawa harapan baru &amp; tantangan yg sama ke tengah hiruk pikuk ibu kota.""",Tue Aug 20 08:11:21 +0000 2024,0,0
65,66,[],1686250347017445379,mubay_yinah8,Mubay Yinah,1825805684484775970,@PapuaBagianNKRI Pemindahan ibu kota ke Kalimantan Timur akan membawa perkembangan ekonomi baru,Tue Aug 20 08:02:51 +0000 2024,0,0
66,67,[],773432927829065728,pajient,See,1825804224015511658,"Upaya ini bertujuan memastikan pasokan energi yang lancar dan aman selama perayaan, mendukung kelancaran seluruh kegiatan yang berlangsung di ibu kota baru Indonesia. @ptm_patraniaga https://t.co/UnIw0MEOua",Tue Aug 20 07:57:03 +0000 2024,0,0
67,68,[],1276615986993524736,kuthilust,Harart 🍉,1825801424363729077,"@Pasgor_16b santap tuh ikn
daerahnya aja belum lu kembangkan, dimajukan dulu, dimakmurkan
baru pindah ibu kota kesono",Tue Aug 20 07:45:55 +0000 2024,0,0
68,69,[],1815711392193974272,nita_anggrni2,Nita Anggraini,1825800696853311570,@PapuaBagianNKRI Adanya ibu kota baru akan memperkuat posisi Indonesia di panggung internasional,Tue Aug 20 07:43:02 +0000 2024,0,0
69,70,[],1709789900164481024,faizah_yulia99,Faizah Yuliarti,1825799955640103257,"@PapuaBagianNKRI Pemindahan ibu kota, awal baru untuk generasi yang penuh semangat",Tue Aug 20 07:40:05 +0000 2024,0,0
70,71,[],1700090285638942720,wadi_rajasa,Wadi Rajasa,1825796273422934504,"@PapuaBagianNKRI Ibu kota yang baru, bikin kita semakin berinovasi dalam ramah lingkungan",Tue Aug 20 07:25:27 +0000 2024,0,0
71,72,[],1696001396020285440,damilah_korla,Damilah Korla,1825794926757687394,"@PapuaBagianNKRI Ibu kota yang baru, bikin kita semakin jadi contoh buat dunia.",Tue Aug 20 07:20:06 +0000 2024,0,0
72,73,[],1681515639507386369,mita_kalila5,Mita Kalila,1825791233106784613,"@IKNnusantaraID Ibu kota yang baru, bikin kita semakin jadi contoh buat dunia.",Tue Aug 20 07:05:26 +0000 2024,0,0
73,74,[],1815637305211928576,maya_sari545,Maya sari,1825791096951287961,"@IKNnusantaraID Ibu kota nusantara akan menjadi pusat kegiatan internasional, sehingga warga setempat dapat mengembangkan jaringan dan hubungan bisnis baru",Tue Aug 20 07:04:53 +0000 2024,0,0
74,75,[],1703979964729851904,wira_suryadi7,Wira Suryadi,1825790437891899538,@PapuaBagianNKRI Pemindahan Ibu Kota Nusantara akan membuka peluang baru bagi perkembangan ekonomi Indonesia,Tue Aug 20 07:02:16 +0000 2024,0,0
75,76,[],1694934083821019136,megaa_aditya,Mega Aditya,1825789002387173421,@PapuaBagianNKRI Ibu kota yang baru bakal jadi trendsetter baru nih,Tue Aug 20 06:56:34 +0000 2024,0,0
76,77,[],1681569586762874880,huda_madi8921,Huda Madi,1825788912012505247,@IKNnusantaraID Pemindahan ibu kota menandakan era baru untuk Indonesia yang lebih maju.,Tue Aug 20 06:56:12 +0000 2024,0,0
77,78,"[{'display_url': 'kaltim.tribunnews.com/2024/08/20/rid…', 'expanded_url': 'https://kaltim.tribunnews.com/2024/08/20/ridwan-kamil-lapor-visi-jakarta-baru-ke-gibran-re-imajinasi-usai-ibu-kota-pindah-ke-kaltim', 'url': 'https://t.co/7UYx4Oy85q', 'indices': [94, 117]}]",103551225,tribunkaltim,Tribun Kaltim,1825787079306932688,"Ridwan Kamil Lapor Visi Jakarta Baru ke Gibran, Re-Imajinasi Usai Ibu Kota Pindah ke Kaltim
 
https://t.co/7UYx4Oy85q lewat @tribunnews",Tue Aug 20 06:48:55 +0000 2024,0,0
78,79,[],1693866623055368192,raisi_rasi66,Raisi Rasi,1825779737748275545,@segaratimor basis poin walaupun pemindahan ibu kota baru akan menyebabkan tekanan dari sisi permintaan.,Tue Aug 20 06:19:45 +0000 2024,0,0
79,80,[],1681200302794391553,mulyani_fhrz4,Mulyani Fahriza,1825775313525338449,@IKNnusantaraID Keberlanjutan budaya lokal akan menjadi identitas unik ibu kota baru,Tue Aug 20 06:02:10 +0000 2024,0,0
80,81,[],1815638122807615488,desi_ananda23,Desi Ananda,1825770353878245383,"@segaratimor Pemindahan Ibu Kota Negara juga akan mendorong investasi di provinsi ibu kota baru dan sekitarnya. Selain itu,",Tue Aug 20 05:42:28 +0000 2024,0,0
81,82,"[{'display_url': 'buff.ly/3X6Dnh7', 'expanded_url': 'https://buff.ly/3X6Dnh7', 'url': 'https://t.co/Wv9USGmuzk', 'indices': [131, 154]}]",1578524700,TechinAsia_ID,Tech in Asia ID,1825765249930108942,"Anggaran sebesar Rp400,3 triliun telah dialokasikan untuk infrastruktur, termasuk untuk pendanaan proyek ibu kota baru Nusantara.

https://t.co/Wv9USGmuzk",Tue Aug 20 05:22:11 +0000 2024,0,0
